epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.3641,0.60011,0.6425,0.99474,0.95783,0.78392,0.87772,0.78253,0.47585,0.47167,0.94351,9.375e-05,9.375e-05,9.375e-05
2,83.7346,0.60017,0.58972,0.98415,0.92223,0.86298,0.89371,0.80604,0.45743,0.45399,0.94152,0.000186077,0.000186077,0.000186077
3,125.252,0.57245,0.57061,0.98853,0.98292,0.85181,0.93413,0.84883,0.46781,0.43174,0.94368,0.000270485,0.000270485,0.000270485
4,169.35,0.53091,0.49434,0.97357,0.88671,0.90157,0.90273,0.83178,0.42043,0.41966,0.93478,0.000346973,0.000346973,0.000346973
5,217.15,0.58583,0.51911,0.9957,0.92596,0.85592,0.86139,0.79054,0.45763,0.39955,0.93899,0.00041554,0.00041554,0.00041554
6,272.348,0.5801,0.49469,0.97602,0.96898,0.72979,0.81686,0.75385,0.42761,0.38593,0.94076,0.000476188,0.000476188,0.000476188
7,326.797,0.55581,0.45909,0.96174,0.98948,0.93031,0.95849,0.89076,0.42998,0.38281,0.93621,0.0004765,0.0004765,0.0004765
8,383.403,0.51925,0.46282,0.97404,0.98852,0.90007,0.93272,0.87036,0.41912,0.3803,0.93393,0.00045175,0.00045175,0.00045175
9,439.75,0.52785,0.44662,0.9631,0.99133,0.90247,0.9387,0.87965,0.39043,0.34482,0.92793,0.000427,0.000427,0.000427
10,488.252,0.50249,0.41925,0.97464,0.9881,0.77544,0.85207,0.79696,0.41217,0.34105,0.93112,0.00040225,0.00040225,0.00040225
11,563.906,0.51653,0.43552,0.94979,0.98007,0.70358,0.80536,0.75017,0.39552,0.34495,0.92983,0.0003775,0.0003775,0.0003775
12,627.6,0.51674,0.41785,0.96219,0.98679,0.94906,0.96885,0.91323,0.3818,0.33147,0.92644,0.00035275,0.00035275,0.00035275
13,684.353,0.48728,0.40943,0.96157,0.98527,0.95094,0.96884,0.91337,0.37715,0.32212,0.92068,0.000328,0.000328,0.000328
14,745.1,0.4719,0.39988,0.95679,0.99023,0.94224,0.96787,0.91671,0.38688,0.31855,0.92095,0.00030325,0.00030325,0.00030325
15,819.88,0.48055,0.39682,0.96599,0.9779,0.87167,0.91979,0.8686,0.36143,0.31226,0.92175,0.0002785,0.0002785,0.0002785
16,891.942,0.4635,0.4119,0.90436,0.99154,0.94322,0.96589,0.906,0.37439,0.32001,0.92343,0.00025375,0.00025375,0.00025375
17,972.553,0.45622,0.40755,0.88919,0.96229,0.50744,0.67483,0.62843,0.37187,0.33097,0.91734,0.000229,0.000229,0.000229
18,1047.95,0.43248,0.39555,0.89124,0.97244,0.50731,0.70218,0.65945,0.38497,0.32558,0.91949,0.00020425,0.00020425,0.00020425
19,1116.95,0.40637,0.36103,0.89037,0.98815,0.95376,0.9723,0.92171,0.37779,0.30754,0.91801,0.0001795,0.0001795,0.0001795
20,1191.71,0.42429,0.37154,0.88669,0.98318,0.95405,0.9725,0.92018,0.38114,0.30382,0.91875,0.00015475,0.00015475,0.00015475
21,1262.39,0.4212,0.37049,0.88641,0.98764,0.95285,0.97093,0.91933,0.36526,0.30108,0.91466,0.00013,0.00013,0.00013
22,1331.67,0.39803,0.35856,0.88427,0.98504,0.95268,0.97287,0.92116,0.36181,0.29953,0.91179,0.00010525,0.00010525,0.00010525
23,1390.67,0.40286,0.36083,0.88098,0.9872,0.95248,0.97471,0.92278,0.35828,0.29569,0.90933,8.05e-05,8.05e-05,8.05e-05
24,1466.01,0.41371,0.36146,0.87657,0.98719,0.95225,0.97436,0.92729,0.35635,0.29359,0.90965,5.575e-05,5.575e-05,5.575e-05
25,1524.94,0.38434,0.34824,0.88793,0.98962,0.9524,0.9739,0.92794,0.35504,0.29188,0.9095,3.1e-05,3.1e-05,3.1e-05
